Transaction_Type,Age,Income,Transaction_Amount,Transactions_24h,Account_Age_Years,Distance_From_Home_Km,Device_Risk_Score,International_Transaction,Is_Fraud
Online,32.0,43489.27,1663.39,2.0,0.38,23.8,0.203,No,0
POS,48.0,,1594.57,2.0,3.67,11.68,0.322,No,0
POS,54.0,39847.26,8762.06,3.0,6.26,12.94,0.113,No,0
ATM,28.0,32930.02,634.63,3.0,11.01,13.39,0.081,No,0
Online,33.0,35246.34,19540.59,,3.41,35.08,0.136,No,0
Transfer,40.0,41123.79,1354.8,6.0,7.29,26.02,0.663,No,0
POS,41.0,65775.21,5947.79,3.0,5.54,13.3,0.088,No,0
POS,30.0,36148.27,2242.28,1.0,8.48,20.41,0.184,No,0
POS,57.0,39512.88,3279.38,6.0,3.14,47.65,0.232,No,0
Online,41.0,58163.62,1922.27,4.0,8.31,0.24,0.044,No,0
POS,42.0,41149.18,5887.71,4.0,9.21,18.53,0.249,No,0
Online,55.0,74379.64,1766.44,6.0,9.33,20.91,0.166,No,0
Online,31.0,29751.65,1409.65,6.0,9.28,12.55,0.255,No,0
POS,35.0,26985.48,15327.25,2.0,5.57,5.42,0.365,No,0
POS,22.0,51611.55,2574.55,5.0,6.75,11.79,0.209,No,0
Online,34.0,53978.85,1272.01,4.0,3.74,10.04,0.218,No,0
Online,20.0,30490.97,563.27,2.0,0.1,21.35,0.34,Yes,0
Online,44.0,82374.87,16149.17,4.0,5.77,10.69,0.19,No,0
Online,41.0,107005.91,1439.6,8.0,4.52,20.45,0.556,No,0
POS,33.0,33924.18,,4.0,7.89,55.65,0.329,No,0
Online,35.0,87877.85,3725.29,5.0,7.59,8.21,0.125,No,1
Transfer,44.0,15405.17,2883.99,6.0,1.81,39.33,0.277,No,0
Online,24.0,73033.12,2962.8,2.0,12.02,17.3,0.123,Yes,0
Online,38.0,30589.88,22925.31,6.0,6.16,2.06,0.35,No,0
Transfer,,69818.23,279.17,2.0,1.15,37.35,0.193,No,0
Online,18.0,29197.65,3097.61,2.0,1.57,36.75,0.435,No,0
,44.0,,1917.62,2.0,0.1,8.08,0.197,Yes,0
Transfer,18.0,31252.85,2020.2,4.0,7.29,26.39,0.154,No,0
Transfer,35.0,40870.81,2902.59,3.0,3.42,16.79,0.132,No,0
ATM,23.0,102527.22,1915.61,6.0,2.48,22.85,0.325,No,0
Online,52.0,42866.49,3017.48,3.0,3.07,11.49,0.284,No,0
POS,,116314.56,2441.75,2.0,4.1,8.86,0.215,No,0
Transfer,18.0,37827.9,672.15,12.0,6.73,7.23,0.378,No,0
Transfer,37.0,88054.56,3660.71,2.0,0.1,44.43,0.283,Yes,0
Online,31.0,21652.06,5115.86,5.0,1.79,8.24,0.456,No,1
POS,19.0,39556.63,1453.86,,6.4,26.12,0.23,No,0
Online,42.0,35354.05,16186.65,9.0,3.22,8.44,0.051,Yes,0
Online,18.0,89893.89,9505.42,5.0,6.75,79.09,0.434,No,0
POS,25.0,48912.08,5813.85,3.0,3.51,8.22,0.362,No,0
Online,30.0,17584.63,,6.0,9.72,8.01,0.17,,0
Online,45.0,24955.75,2576.39,3.0,5.63,49.08,0.233,No,0
Online,50.0,28530.24,7827.65,4.0,8.68,15.72,0.076,No,0
POS,48.0,68510.37,12025.69,2.0,6.55,6.44,0.197,No,0
Online,34.0,64645.33,5608.68,3.0,6.73,18.25,0.112,No,0
POS,18.0,39310.15,1413.41,3.0,2.74,9.48,0.269,No,0
Online,40.0,35157.33,2402.74,,8.5,88.26,0.138,No,0
Transfer,52.0,62118.09,4436.92,,5.65,3.56,0.048,No,0
Online,50.0,27068.67,,3.0,2.14,30.5,0.316,No,0
POS,41.0,55291.19,2313.62,,0.1,50.27,0.288,No,0
Online,23.0,53212.62,1418.33,2.0,5.42,33.29,0.204,No,0
Online,30.0,39769.38,12188.56,5.0,9.52,11.08,0.192,Yes,0
Online,57.0,53818.52,855.53,4.0,2.28,40.59,0.033,No,0
Online,20.0,47115.64,,7.0,2.18,21.69,0.209,No,0
Online,23.0,56289.12,663.09,2.0,4.05,29.55,0.302,No,0
POS,46.0,24687.98,973.11,2.0,8.3,34.15,0.373,No,0
POS,31.0,59334.35,8702.72,5.0,0.1,7.81,0.154,No,0
Online,23.0,71423.94,8999.09,1.0,3.05,28.26,0.142,No,0
POS,53.0,51992.04,2321.57,3.0,1.98,32.59,0.153,No,0
POS,41.0,58980.66,4106.64,4.0,6.69,18.52,0.069,,0
Online,32.0,42828.29,2473.88,3.0,4.57,10.96,0.12,No,0
POS,23.0,67205.97,759.05,7.0,3.96,17.5,0.262,Yes,0
Online,59.0,46340.84,22974.79,4.0,4.46,60.68,0.129,No,0
Online,36.0,26845.25,9885.12,4.0,7.35,26.1,0.126,No,0
POS,51.0,65089.27,3563.38,3.0,8.36,19.87,0.055,No,1
Transfer,46.0,21569.85,1062.26,3.0,8.07,8.07,0.157,Yes,0
Transfer,30.0,51106.59,1996.42,3.0,6.73,40.06,0.428,Yes,0
Transfer,30.0,37854.97,1250.9,3.0,9.15,28.04,0.479,No,0
POS,52.0,36781.9,2756.26,1.0,2.21,13.83,0.128,No,0
Online,52.0,48621.09,3408.3,6.0,6.16,11.9,0.105,No,0
Online,18.0,32703.52,1777.42,4.0,12.05,6.95,0.107,Yes,0
Online,42.0,56664.91,,4.0,0.1,28.91,0.279,No,0
Online,35.0,46164.96,,3.0,3.4,3.29,0.093,No,0
Online,25.0,34085.78,3170.27,8.0,1.89,29.7,0.15,No,0
POS,39.0,82174.36,3946.71,6.0,5.87,3.58,0.215,No,0
Online,21.0,49343.93,1638.66,3.0,9.31,16.42,0.207,No,0
Online,31.0,59771.14,524.28,1.0,6.61,40.94,0.109,No,0
ATM,,85125.57,2300.19,4.0,4.35,2.61,0.262,No,0
POS,31.0,84499.26,1809.53,3.0,6.64,47.54,0.091,No,0
Transfer,35.0,58414.6,5082.61,2.0,4.13,11.65,0.055,No,0
Online,25.0,39270.21,6186.49,6.0,5.58,17.33,0.191,Yes,1
POS,53.0,23648.41,5372.64,3.0,6.86,11.68,0.469,Yes,0
Online,41.0,49386.31,6716.47,4.0,10.26,12.85,0.259,No,0
POS,,73642.73,15179.66,1.0,6.35,8.93,0.187,No,0
Online,34.0,52778.51,3691.9,4.0,5.65,38.33,0.369,No,0
Online,30.0,15000.0,7504.53,7.0,11.11,31.67,0.067,,0
POS,55.0,66565.77,4096.58,1.0,0.1,8.15,0.15,No,0
Online,30.0,68431.76,373.91,4.0,4.72,26.37,0.037,No,0
Online,34.0,39295.6,2142.07,6.0,2.78,22.39,0.385,Yes,0
Transfer,44.0,70205.4,1049.78,4.0,4.28,14.38,0.087,No,0
Online,22.0,59694.92,3151.01,4.0,6.81,27.58,0.208,No,0
POS,44.0,33055.38,1133.47,2.0,7.94,16.89,0.288,No,0
POS,42.0,79738.14,4581.25,9.0,3.44,35.03,0.336,Yes,0
Online,50.0,25439.37,6667.99,5.0,7.01,9.25,0.28,No,0
POS,46.0,43855.6,8329.98,,2.31,32.59,0.264,No,0
Online,50.0,,12623.4,2.0,1.16,3.25,0.271,No,1
ATM,35.0,31038.1,467.79,5.0,5.21,21.05,0.448,No,0
Online,27.0,51592.16,753.74,5.0,4.34,19.07,0.172,No,0
Online,59.0,81152.37,46716.9,6.0,9.47,9.64,0.058,No,0
Online,19.0,78897.25,6860.73,5.0,11.39,28.16,0.118,Yes,0
Transfer,20.0,62321.81,3129.08,8.0,3.17,29.98,0.39,No,0
ATM,42.0,20978.48,2581.39,6.0,0.1,11.5,0.214,Yes,0
Transfer,54.0,24667.44,2361.82,6.0,0.9,14.37,0.181,No,0
POS,38.0,48493.93,361.51,6.0,2.49,24.6,0.204,No,0
POS,47.0,44312.05,1154.84,2.0,5.62,4.21,0.069,No,0
POS,18.0,35964.29,2235.45,3.0,4.22,11.99,0.093,No,0
Transfer,31.0,106065.62,1221.93,7.0,1.22,12.74,0.103,No,0
POS,18.0,47195.55,1392.58,3.0,10.36,15.24,0.21,No,0
POS,45.0,57440.42,,5.0,6.99,33.56,0.182,Yes,0
POS,19.0,70190.62,1943.79,3.0,10.28,32.09,0.146,No,0
POS,22.0,46126.78,3301.61,8.0,0.1,8.93,0.066,Yes,0
Online,42.0,144407.69,3186.19,5.0,8.82,20.36,0.062,No,0
,48.0,29473.6,4507.53,6.0,4.55,23.73,0.117,No,0
Online,34.0,34258.35,1551.17,3.0,3.82,27.04,0.069,No,0
ATM,42.0,29441.08,,2.0,5.07,6.59,0.214,No,0
POS,42.0,90908.97,3895.62,4.0,2.9,1.89,0.323,Yes,0
ATM,34.0,64560.39,,3.0,4.57,66.43,0.14,No,0
POS,24.0,35226.34,2245.18,7.0,7.84,10.38,0.225,No,0
ATM,,30505.84,2104.64,2.0,0.1,17.97,0.2,Yes,0
Online,43.0,83919.94,2009.98,6.0,9.49,24.2,0.227,No,0
Transfer,46.0,52953.91,4160.3,3.0,6.18,17.47,0.307,Yes,0
POS,,84889.51,4716.26,6.0,4.67,18.47,0.245,No,0
Online,23.0,43798.31,4191.02,6.0,7.81,23.4,0.051,No,0
Online,44.0,56647.81,3508.56,2.0,6.09,9.73,0.219,Yes,0
Online,36.0,51509.43,2723.53,5.0,3.56,9.89,0.366,No,0
POS,31.0,33981.37,290.86,2.0,2.68,10.4,0.07,Yes,0
ATM,33.0,42173.73,5442.2,4.0,9.5,25.75,0.164,Yes,0
Transfer,28.0,,4074.08,7.0,0.56,30.28,0.218,No,0
POS,46.0,56205.27,933.82,4.0,4.41,8.84,0.143,No,0
POS,20.0,63384.82,3309.75,6.0,0.77,9.68,0.294,No,0
POS,25.0,70262.28,4778.99,3.0,6.46,28.04,0.228,No,0
ATM,32.0,60740.32,8065.03,2.0,4.71,33.64,0.348,No,0
ATM,54.0,42477.22,4164.48,3.0,1.25,36.62,0.281,No,0
Online,48.0,90472.8,3448.34,6.0,2.39,10.76,0.459,No,0
Transfer,18.0,67235.5,6443.44,5.0,5.13,26.21,0.14,No,0
POS,51.0,84058.11,1839.97,6.0,5.86,55.48,0.185,No,1
ATM,,86465.16,3774.6,1.0,0.1,12.85,0.209,Yes,0
Transfer,23.0,42527.15,1343.36,3.0,2.88,31.74,0.332,Yes,0
ATM,18.0,53581.74,7588.15,0.0,5.48,21.08,0.294,No,0
Online,35.0,63765.79,499.86,5.0,8.63,73.84,0.213,Yes,0
POS,48.0,26830.75,5657.76,5.0,7.52,2.08,0.175,No,0
Online,54.0,27099.75,2544.67,8.0,3.64,23.29,0.071,No,1
ATM,26.0,25077.53,6564.51,3.0,8.0,46.61,0.128,No,0
Online,55.0,42863.36,1145.39,5.0,4.05,8.3,0.143,No,0
POS,18.0,38732.14,2735.39,4.0,0.1,32.37,0.256,,0
Transfer,32.0,23585.0,,2.0,9.32,13.29,0.256,No,0
Online,31.0,48128.46,3858.1,3.0,6.37,3.56,0.335,No,0
POS,49.0,43104.78,876.98,3.0,5.56,12.95,0.2,No,0
POS,50.0,76605.63,4723.29,4.0,5.02,8.89,0.256,No,0
POS,,111330.48,394.71,5.0,5.91,39.34,0.385,No,0
Online,21.0,55260.87,1282.04,1.0,5.02,74.64,0.342,Yes,0
Online,45.0,32890.33,523.91,5.0,4.13,13.82,0.45,No,0
POS,42.0,60200.97,5723.1,2.0,3.04,13.04,0.259,No,0
POS,18.0,,3730.05,3.0,5.23,2.57,0.39,No,0
POS,18.0,40390.97,3944.53,7.0,2.36,36.91,0.138,Yes,0
Online,47.0,30537.09,10907.82,7.0,1.57,51.89,0.418,No,0
POS,34.0,36516.47,1822.75,8.0,5.81,28.42,0.238,No,0
POS,22.0,41539.99,,4.0,7.94,12.58,0.169,No,0
Online,34.0,64618.83,2670.63,2.0,2.61,24.1,0.313,No,0
ATM,40.0,56634.82,2293.45,8.0,3.13,36.02,0.43,No,0
Online,35.0,102326.81,9234.22,3.0,0.1,17.43,0.334,No,0
POS,19.0,60953.7,20048.82,2.0,1.05,30.32,0.555,No,0
Transfer,57.0,54467.01,1623.89,2.0,1.16,14.4,0.073,No,0
POS,47.0,39207.14,5754.66,8.0,7.92,5.8,0.388,No,0
POS,32.0,,3439.78,2.0,0.1,34.8,0.6,Yes,1
Online,33.0,34820.64,3481.29,2.0,6.38,21.84,0.338,No,0
Online,40.0,,3201.02,3.0,4.2,24.26,0.058,No,0
Online,24.0,15000.0,1791.79,5.0,6.82,38.32,0.065,No,0
ATM,40.0,28582.03,100.0,4.0,8.5,9.18,0.595,No,0
ATM,21.0,92541.47,11601.1,5.0,4.91,13.09,0.41,No,0
Online,35.0,53118.89,,6.0,8.4,51.26,0.222,No,0
Online,23.0,37986.35,1963.51,5.0,9.65,23.42,0.359,No,0
Online,24.0,53837.94,2005.71,,9.04,35.98,0.337,Yes,0
POS,54.0,18683.31,1141.66,5.0,2.98,20.06,0.243,No,1
POS,37.0,51090.9,3178.89,4.0,0.1,29.81,0.066,Yes,0
POS,38.0,79960.6,2391.64,5.0,4.63,30.68,0.118,No,0
Transfer,18.0,42613.04,1221.1,6.0,5.54,11.51,0.186,No,0
Online,29.0,20272.54,2902.56,4.0,0.1,78.36,0.442,No,0
POS,41.0,37352.1,2418.73,7.0,5.18,24.05,0.101,No,0
POS,38.0,80024.3,6322.59,3.0,0.1,4.43,0.147,No,0
Online,18.0,50554.19,654.36,5.0,9.64,5.53,0.362,,0
Transfer,38.0,23769.97,,0.0,6.43,13.67,0.183,No,0
Online,40.0,130594.31,5163.36,3.0,2.55,3.33,0.306,No,0
ATM,50.0,25596.32,1318.57,6.0,5.38,46.41,0.296,Yes,0
ATM,,40340.12,1012.97,4.0,5.75,11.74,0.055,No,1
Transfer,18.0,28214.58,1385.42,4.0,6.45,7.1,0.296,Yes,0
POS,25.0,28232.16,2259.88,4.0,5.21,25.2,0.815,No,0
Online,24.0,36715.33,2268.48,5.0,7.83,30.12,0.077,No,0
ATM,44.0,59915.19,2026.54,1.0,1.2,14.5,0.143,No,0
ATM,18.0,80431.16,893.8,1.0,4.61,30.43,0.413,Yes,0
POS,31.0,37821.84,5416.5,4.0,10.36,35.62,0.283,No,0
ATM,52.0,28562.59,9416.94,3.0,3.94,14.17,0.442,No,0
Online,36.0,55815.42,370.04,5.0,5.72,6.36,0.091,No,0
POS,46.0,56556.84,528.74,2.0,2.01,12.81,0.521,No,0
Transfer,18.0,50140.64,6815.15,4.0,11.47,16.53,0.306,No,0
Online,18.0,50944.94,12014.17,3.0,5.86,20.3,0.345,No,0
POS,52.0,42777.3,297.34,5.0,1.22,36.24,0.133,No,0
Transfer,37.0,47032.1,5650.41,4.0,8.27,17.0,0.167,No,0
ATM,37.0,41467.89,12860.63,3.0,1.78,10.15,0.338,No,0
Transfer,24.0,72840.5,1055.36,3.0,7.05,12.5,0.1,No,0
POS,37.0,122666.5,12133.36,6.0,8.09,22.86,0.17,No,1
Transfer,23.0,48789.07,2092.37,4.0,11.08,24.46,0.161,Yes,0
Online,49.0,44867.11,3424.41,4.0,5.67,57.84,0.113,No,0
POS,66.0,50491.25,1217.81,3.0,5.15,16.35,0.311,No,0
POS,41.0,33468.27,6802.7,3.0,0.1,10.21,0.153,No,0
ATM,29.0,63491.29,5758.88,3.0,3.63,2.28,0.274,No,0
Transfer,18.0,54882.35,14027.23,,2.86,3.68,0.296,,0
ATM,18.0,37242.51,10558.15,2.0,4.46,27.87,0.195,No,0
POS,53.0,67531.39,2477.23,3.0,3.44,11.98,0.004,No,0
POS,25.0,45386.19,50000.0,7.0,7.36,43.22,0.576,Yes,1
POS,32.0,29082.51,9651.21,7.0,3.32,3.03,0.158,No,0
POS,43.0,52714.18,4292.23,4.0,6.43,13.42,0.25,No,0
Online,52.0,50064.35,922.32,3.0,4.65,35.08,0.26,No,0
POS,34.0,69328.12,541.32,3.0,3.13,47.07,0.064,No,0
Transfer,32.0,65422.0,589.35,1.0,2.86,29.56,0.108,No,0
ATM,37.0,42841.64,982.78,,5.7,37.72,0.398,No,0
ATM,29.0,36387.43,9910.49,5.0,9.11,9.78,0.291,No,0
POS,30.0,45035.32,4068.93,4.0,2.81,15.42,0.049,Yes,0
POS,41.0,52992.56,1353.8,3.0,5.14,49.07,0.671,No,0
Online,,55944.04,2182.39,1.0,6.45,9.07,0.221,No,0
POS,59.0,51536.9,1931.98,1.0,4.94,19.77,0.185,No,0
POS,41.0,43199.1,5564.13,5.0,0.1,31.67,0.043,No,0
Online,49.0,70473.03,1038.2,2.0,6.44,44.86,0.066,No,0
Online,24.0,33222.48,3546.56,2.0,0.48,18.0,0.231,Yes,0
POS,42.0,137331.0,3374.94,2.0,0.52,14.87,0.064,No,0
POS,28.0,63436.8,1069.75,5.0,1.09,26.28,0.373,No,0
POS,40.0,27093.51,12234.95,2.0,4.51,60.43,0.236,No,0
Online,44.0,48911.65,1860.27,3.0,2.11,26.09,0.203,No,0
POS,,63711.82,926.39,3.0,0.69,26.95,0.279,No,0
POS,62.0,38453.37,5865.99,4.0,6.14,17.95,0.097,Yes,0
POS,52.0,22962.16,2640.02,4.0,4.92,9.63,0.378,No,0
POS,49.0,28193.28,3761.13,2.0,7.27,15.15,0.302,No,0
Online,44.0,57432.15,764.61,4.0,2.81,17.71,0.089,,0
Transfer,55.0,20431.65,5633.37,4.0,4.81,14.97,0.086,No,0
Online,20.0,23440.32,21948.95,3.0,7.4,19.3,0.257,No,0
POS,,57296.42,707.13,5.0,1.06,27.72,0.079,No,0
Online,25.0,40711.69,3562.63,6.0,3.02,12.1,0.108,Yes,0
POS,30.0,32902.92,1139.95,6.0,7.98,36.52,0.549,No,0
Online,42.0,36018.51,36814.68,2.0,5.06,26.3,0.196,No,1
Transfer,50.0,23214.95,8635.86,8.0,4.55,20.74,0.221,Yes,0
POS,23.0,55961.64,3314.8,5.0,4.88,16.8,0.319,No,0
POS,30.0,31303.12,732.29,3.0,8.67,9.11,0.211,No,0
Online,37.0,35359.74,932.61,2.0,4.93,28.0,0.139,No,0
Online,,52599.98,5272.82,3.0,5.14,78.96,0.352,No,0
POS,45.0,40092.13,640.05,3.0,4.95,45.94,0.494,No,0
POS,74.0,32771.8,660.46,1.0,0.15,30.68,0.053,No,0
POS,41.0,18382.8,2522.18,4.0,6.51,49.89,0.423,No,0
Transfer,28.0,53090.82,2856.82,6.0,2.54,12.94,0.385,No,0
ATM,22.0,46628.38,,4.0,1.21,10.85,0.159,Yes,0
Transfer,32.0,35653.17,1610.86,6.0,0.1,19.33,0.374,No,0
Online,26.0,28214.41,6274.15,4.0,0.38,20.26,0.247,No,0
,41.0,45259.18,,3.0,0.1,42.85,0.165,No,0
POS,41.0,55861.46,4678.3,2.0,1.92,35.83,0.222,No,0
,31.0,47023.81,3096.93,4.0,3.7,2.86,0.33,No,0
Transfer,58.0,94046.75,4558.25,3.0,8.18,36.45,0.136,No,0
POS,28.0,61794.29,,3.0,5.18,17.0,0.08,Yes,0
,35.0,42879.12,1585.59,2.0,5.76,25.15,0.451,No,0
ATM,43.0,62733.02,1290.74,0.0,8.84,18.5,0.281,Yes,0
Online,46.0,45996.28,462.04,8.0,0.1,11.94,0.3,No,0
POS,50.0,45924.52,331.97,6.0,6.17,24.97,0.215,No,0
POS,41.0,80642.53,2096.6,7.0,5.94,11.24,0.507,No,0
Transfer,,30040.2,2245.14,3.0,7.47,17.28,0.431,No,0
ATM,29.0,45474.5,843.84,1.0,0.1,9.74,0.414,No,0
Online,46.0,76863.57,1046.23,8.0,3.28,7.19,0.719,Yes,0
Online,46.0,51712.95,11470.11,4.0,2.21,76.26,0.209,No,0
Online,53.0,38114.27,6002.23,5.0,1.14,13.53,0.138,Yes,0
POS,18.0,20882.06,708.0,4.0,11.94,17.29,0.229,No,0
Online,26.0,16199.92,1606.31,1.0,3.3,45.43,0.268,Yes,0
ATM,45.0,114542.28,3752.02,,7.78,21.82,0.336,No,0
POS,18.0,,1336.21,4.0,7.12,9.37,0.144,Yes,0
ATM,41.0,34599.17,1113.6,7.0,0.68,9.46,0.27,No,0
Online,48.0,52663.26,1782.55,8.0,3.42,8.81,0.196,No,0
POS,30.0,29376.91,7440.6,6.0,5.18,60.07,0.353,No,0
Online,31.0,38769.04,8147.34,8.0,6.19,2.44,0.084,No,0
Transfer,24.0,29466.07,1198.23,8.0,5.99,7.84,0.059,No,0
Online,30.0,23823.9,3962.37,7.0,10.26,13.85,0.283,No,0
Online,31.0,17451.39,2484.02,3.0,7.73,13.79,0.207,Yes,0
Online,,21926.95,912.16,4.0,6.97,12.65,0.06,No,0
ATM,28.0,71253.36,1857.47,1.0,7.9,28.36,0.039,No,0
Online,33.0,28863.15,706.14,3.0,9.06,23.51,0.267,No,0
POS,33.0,57246.35,7999.24,,3.13,10.76,0.159,No,0
ATM,57.0,69210.59,11807.83,3.0,0.26,13.16,0.095,Yes,0
ATM,32.0,45336.99,1658.18,4.0,3.18,91.26,0.331,No,0
Online,40.0,39342.57,1306.32,6.0,0.88,24.22,0.142,Yes,0
Online,30.0,47775.97,7177.03,5.0,2.05,0.74,0.488,,0
POS,30.0,37307.09,8435.42,2.0,5.3,9.43,0.419,No,0
Online,18.0,77356.27,820.27,6.0,3.34,12.71,0.352,No,0
POS,19.0,104700.38,2155.98,4.0,6.94,75.01,0.367,No,0
POS,23.0,86407.79,2356.91,1.0,5.91,13.42,0.327,No,0
POS,38.0,17089.41,1156.63,6.0,6.09,14.24,0.349,No,0
Online,48.0,36966.07,3677.64,2.0,1.21,3.81,0.146,No,0
POS,18.0,45084.3,1241.53,4.0,2.37,20.07,0.491,,0
Online,30.0,55425.43,1456.49,6.0,0.1,33.61,0.299,No,0
POS,21.0,20684.22,2259.06,1.0,6.7,19.02,0.174,No,0
Online,33.0,20534.63,563.96,7.0,10.77,13.33,0.105,No,0
Transfer,48.0,81021.77,319.77,5.0,5.54,16.62,0.291,No,0
POS,31.0,34989.88,6262.4,3.0,5.8,32.54,0.407,No,0
Online,35.0,23042.25,,7.0,3.41,15.45,0.302,No,0
Online,52.0,27385.79,21139.74,2.0,4.35,15.69,0.341,No,1
Online,41.0,53644.35,17959.67,5.0,8.82,26.29,0.129,No,0
Online,28.0,31078.49,1506.53,6.0,5.27,11.47,0.438,No,0
Online,38.0,50168.84,25928.53,3.0,6.92,8.74,0.102,No,0
Transfer,27.0,28969.26,6384.45,3.0,8.9,4.02,0.388,No,0
POS,41.0,20527.64,1311.24,5.0,8.3,17.39,0.414,No,0
Online,42.0,85424.55,189.09,2.0,5.1,11.2,0.211,No,0
POS,21.0,53830.92,4975.1,4.0,5.32,36.48,0.249,No,0
Online,38.0,38724.58,,5.0,3.84,15.69,0.151,No,0
Transfer,35.0,35589.47,3848.38,1.0,6.5,33.47,0.382,No,0
Online,42.0,,,3.0,3.76,29.16,0.109,No,0
ATM,45.0,58724.15,796.47,,6.05,3.51,0.271,Yes,0
ATM,41.0,75394.05,1631.12,3.0,8.11,6.69,0.194,No,0
Online,33.0,34605.09,5067.91,1.0,0.1,63.46,0.289,No,0
Online,46.0,46037.78,1754.03,3.0,0.1,11.63,0.429,No,0
POS,26.0,53928.12,1743.46,5.0,4.87,24.84,0.382,No,1
Transfer,21.0,35132.67,547.11,5.0,7.01,17.22,0.126,No,0
POS,18.0,43106.47,2738.72,4.0,5.86,3.63,0.106,No,0
POS,35.0,34606.37,822.31,2.0,1.37,9.41,0.188,No,0
ATM,27.0,53851.98,6263.99,7.0,7.7,7.84,0.544,No,0
ATM,40.0,24829.57,1199.84,5.0,10.72,31.6,0.233,No,0
POS,18.0,58209.52,1860.02,3.0,2.39,9.36,0.032,No,0
POS,29.0,51753.05,21764.37,5.0,2.82,26.78,0.371,No,0
ATM,41.0,41065.72,1839.91,3.0,5.08,5.76,0.348,No,0
Online,25.0,55088.73,1609.17,9.0,4.62,1.28,0.182,No,0
Transfer,41.0,38184.87,4490.27,3.0,8.61,20.42,0.148,No,0
Online,30.0,,419.38,4.0,5.85,25.68,0.008,Yes,0
Online,36.0,57474.38,8732.92,1.0,4.13,13.82,0.202,No,0
ATM,43.0,58604.93,6754.65,5.0,3.23,19.71,0.117,No,0
Online,46.0,35815.86,4223.83,2.0,0.42,4.74,0.074,No,0
Online,37.0,34459.65,100.0,4.0,9.11,14.68,0.313,No,0
Online,27.0,41443.23,1928.76,5.0,6.88,36.5,0.37,No,0
POS,31.0,35102.06,700.07,3.0,4.73,64.92,0.119,No,0
ATM,43.0,89386.18,7693.67,7.0,5.33,17.82,0.297,No,0
Online,25.0,51887.43,7162.45,7.0,4.68,23.97,0.103,Yes,0
Online,34.0,45296.63,3685.11,5.0,0.1,37.31,0.443,No,0
POS,32.0,29575.2,750.65,4.0,0.74,20.94,0.219,Yes,0
Transfer,35.0,62753.09,11140.48,5.0,4.39,25.12,0.371,No,0
Online,25.0,34173.15,1923.28,3.0,4.34,51.61,0.252,No,0
Transfer,18.0,33546.29,,7.0,4.96,24.26,0.1,No,0
Transfer,42.0,63709.84,3259.84,1.0,10.09,14.2,0.241,No,0
Online,47.0,53568.31,4149.96,6.0,4.14,50.97,0.135,No,0
ATM,18.0,15000.0,1577.73,4.0,2.71,22.58,0.204,No,0
,40.0,41915.92,10208.76,4.0,5.16,6.34,0.314,No,0
POS,48.0,47614.93,4593.88,3.0,0.81,15.55,0.069,No,0
POS,43.0,38622.86,10582.3,3.0,5.47,70.13,0.179,No,0
ATM,31.0,48367.41,,3.0,2.83,39.31,0.244,Yes,0
ATM,26.0,,2385.13,4.0,5.68,11.87,0.154,No,0
ATM,37.0,15000.0,4533.17,4.0,4.46,42.85,0.406,No,0
Transfer,39.0,29011.78,10578.58,4.0,4.58,15.42,0.414,No,0
POS,37.0,51094.34,6910.38,2.0,6.88,9.64,0.05,No,0
ATM,34.0,15000.0,2870.58,4.0,7.2,37.07,0.389,No,0
Transfer,24.0,30786.21,390.27,0.0,11.1,6.62,0.094,Yes,0
Online,41.0,18942.73,5621.94,4.0,7.08,9.83,0.288,Yes,0
Online,41.0,40345.57,593.09,7.0,4.27,20.64,0.462,No,0
POS,38.0,108604.97,2589.06,4.0,3.1,23.4,0.423,No,0
Transfer,37.0,40810.25,,6.0,6.04,33.15,0.081,No,0
Online,54.0,,605.64,4.0,9.38,8.03,0.093,No,0
ATM,29.0,65648.61,3628.41,3.0,7.57,20.93,0.424,No,0
Online,50.0,45433.53,21555.01,6.0,2.86,1.9,0.1,No,0
POS,28.0,40850.38,1828.85,,6.36,2.44,0.228,No,0
POS,48.0,68282.48,5377.21,7.0,5.67,10.26,0.23,No,0
Online,50.0,,26363.5,1.0,8.15,33.12,0.261,Yes,0
Transfer,33.0,51241.21,5923.36,2.0,5.9,27.51,0.235,No,0
Online,54.0,42275.66,1311.86,2.0,5.79,15.36,0.332,No,0
Transfer,41.0,38510.59,3168.65,2.0,1.46,3.32,0.287,No,0
Online,26.0,67991.95,4043.34,7.0,7.38,23.2,0.456,No,0
Transfer,,38677.36,10486.66,2.0,0.83,104.26,0.16,No,0
POS,48.0,78313.99,8417.74,4.0,5.27,18.56,0.172,No,0
Online,46.0,28090.93,156.67,7.0,3.35,6.65,0.139,No,0
Online,24.0,85786.81,1061.93,,3.17,17.46,0.263,No,0
Online,34.0,55649.91,2330.92,3.0,6.75,4.04,0.083,,0
POS,38.0,29102.43,905.75,6.0,4.99,11.77,0.159,No,0
ATM,30.0,56582.68,100.0,4.0,0.1,31.28,0.568,No,0
POS,62.0,33583.21,1210.06,3.0,4.41,48.5,0.036,No,0
POS,39.0,45682.04,2490.99,3.0,3.84,14.51,0.368,No,0
POS,35.0,36150.12,1478.47,4.0,8.77,5.52,0.228,No,0
POS,49.0,,922.51,5.0,1.27,32.72,0.143,No,0
POS,32.0,68738.29,2605.84,6.0,10.75,22.32,0.203,,0
POS,47.0,56825.93,3523.23,3.0,7.57,17.19,0.115,No,0
